,WinRate_x,UsageRate,BanRate,Offense,Endurance,Mobility,Scoring,Support,Loss,Win,AdjustedWinRate,WinRate_y,BlendedWinRate,Mobility_Offense,Mobility_Endurance,Support_Scoring,MetaImpactScore,AvgDifficulty,FeedbackBoostedWinRate,Style_Melee,Style_Ranged
WinRate_x,1.0,0.16670213711913862,0.3148782735058479,0.24169351624971203,0.09343127583632578,0.1890779330930809,-0.2813494230742496,-0.15941995402040388,0.06782022782720487,-0.1198676391451805,0.1045696247546528,1.0,-0.4267929648281012,0.2834845001409565,0.2493907303387539,-0.297146032312358,0.17880516174472566,0.10696118899020168,0.07449516468853602,0.13005111437578934,-0.1300511143757893
UsageRate,0.16670213711913862,1.0,0.5677310380275119,-0.07366399759453796,-0.10699939508269396,0.032640207679730866,-0.01733525811692453,0.13717403368995487,0.10808085311204164,0.13462065853248667,0.14209891950548503,0.8145620526577153,0.029359696317610446,0.0064590185989758,-0.13942799858097715,0.07176682752712923,0.9846282050864309,-0.052548466566360884,0.13948246582359025,-0.059642293441858764,0.059642293441858764
BanRate,0.3148782735058479,0.5677310380275119,1.0,0.16229998053491906,-0.022247765090597043,0.0036329193735699676,-0.10799831891366356,0.06070252307075201,0.34169471570860677,0.13017119378827138,0.019182450114651566,0.7833949323644142,-0.38784485812383906,0.0869698005865706,0.006588516993579191,-0.0026096034736178843,0.5420542814411018,-0.007479424449219317,0.010015872581307709,-0.10475649945492616,0.1047564994549262
Offense,0.24169351624971203,-0.07366399759453796,0.16229998053491906,1.0,-0.44459259540541757,0.32804900639668594,-0.015333460694207735,-0.6035323745744166,0.140337526956434,0.023757678627092584,-0.0017842149660770642,0.10389917166571008,-0.3223984330882952,0.7385613957311904,0.015184324941810698,-0.5167750270074171,-0.07442553953419462,0.18110029697343494,-0.00862418580254767,-0.23191437256130826,0.23191437256130826
Endurance,0.09343127583632578,-0.10699939508269396,-0.022247765090597043,-0.44459259540541757,1.0,-0.2719203376866183,-0.34479400107391517,0.19790138945180574,-0.15734071549585463,-0.10574561979727354,0.042927518786890495,-0.23528151494035807,0.272370720959406,-0.3566499282569838,0.6229708500837008,-0.003444310744795162,-0.10215147494083035,-0.17985291873006043,0.036480412895335004,0.2790091791356492,-0.2790091791356492
Mobility,0.1890779330930809,0.032640207679730866,0.0036329193735699676,0.32804900639668594,-0.2719203376866183,1.0,0.15714651969132987,-0.6557709686690456,-0.13977493330977622,-0.2529110549223233,-0.08513763533344856,0.3101414216509802,0.09142703446850152,0.8561372605381914,0.5307723447099224,-0.5570289262507836,0.017944260903487108,0.3579419387829493,-0.10096041561551393,0.19677301954081947,-0.19677301954081944
Scoring,-0.2813494230742496,-0.01733525811692453,-0.10799831891366356,-0.015333460694207735,-0.34479400107391517,0.15714651969132987,1.0,-0.17631122876771568,-0.0263598507721504,-0.07390857391031451,-0.15839086063695348,0.01386130834528203,-0.05096804527692817,0.022864028444472644,-0.17286603179864268,0.2257547488220949,-0.038573061354807266,0.1858550199764469,-0.1521929157768254,0.017395280161570582,-0.017395280161570624
Support,-0.15941995402040388,0.13717403368995487,0.06070252307075201,-0.6035323745744166,0.19790138945180574,-0.6557709686690456,-0.17631122876771568,1.0,-0.0002091163718209846,0.20317296095778453,0.15300974945832777,-0.26620339538437515,0.31859109689420995,-0.7388920691402404,-0.3740862411883571,0.865582991203801,0.15444563187012586,-0.36013023390152193,0.16633084954865937,-0.18483635232220966,0.18483635232220974
Loss,0.06782022782720487,0.10808085311204164,0.34169471570860677,0.140337526956434,-0.15734071549585463,-0.13977493330977622,-0.0263598507721504,-0.0002091163718209846,1.0,0.5875259837736504,-0.05539779321556987,0.48227973011720837,-0.9486863338516395,-0.06356219212501758,-0.18323907544707352,-5.677365156436146e-05,0.09956980395779605,-0.07514167466373951,-0.044950729236495963,-0.23028309323591897,0.23028309323591897
Win,-0.1198676391451805,0.13462065853248667,0.13017119378827138,0.023757678627092584,-0.10574561979727354,-0.2529110549223233,-0.07390857391031451,0.20317296095778453,0.5875259837736504,1.0,0.6260295397309588,0.0027993821139180516,-0.2091417699499354,-0.19204382707014328,-0.2397155169504803,0.15124684354001244,0.23408503009996628,-0.09174323950247341,0.6603444597521951,-0.3067570140218308,0.3067570140218308
AdjustedWinRate,0.1045696247546528,0.14209891950548503,0.019182450114651566,-0.0017842149660770642,0.042927518786890495,-0.08513763533344856,-0.15839086063695348,0.15300974945832777,-0.05539779321556987,0.6260295397309588,1.0,-0.42679296482810003,1.0,-0.045595628846198666,-0.025079183046897324,0.05257784322199046,0.2929649456673389,0.11482159036745555,0.9980171125463791,-0.12845850761956418,0.12845850761956418
WinRate_y,1.0,0.8145620526577153,0.7833949323644142,0.10389917166571008,-0.23528151494035807,0.3101414216509802,0.01386130834528203,-0.26620339538437515,0.48227973011720837,0.0027993821139180516,-0.42679296482810003,1.0,-0.4267929648281012,0.30866098757504423,-0.05564616275377255,-0.33970432289170693,0.7468904998070796,0.05318826016448631,-0.44545604934575816,-0.20494983791710664,0.2049498379171067
BlendedWinRate,-0.4267929648281012,0.029359696317610446,-0.38784485812383906,-0.3223984330882952,0.272370720959406,0.09142703446850152,-0.05096804527692817,0.31859109689420995,-0.9486863338516395,-0.2091417699499354,1.0,-0.4267929648281012,1.0,-0.051475883014520746,0.20231310695524074,0.30062802017811774,0.16619558464401143,0.18590379551105357,0.9940493017634751,0.2959901361617117,-0.2959901361617117
Mobility_Offense,0.2834845001409565,0.0064590185989758,0.0869698005865706,0.7385613957311904,-0.3566499282569838,0.8561372605381914,0.022864028444472644,-0.7388920691402404,-0.06356219212501758,-0.19204382707014328,-0.045595628846198666,0.30866098757504423,-0.051475883014520746,1.0,0.4141621781563202,-0.6631706926337864,-0.0017537721105555936,0.3238275269237913,-0.0623818102245967,0.024755084315285766,-0.024755084315285777
Mobility_Endurance,0.2493907303387539,-0.13942799858097715,0.006588516993579191,0.015184324941810698,0.6229708500837008,0.5307723447099224,-0.17286603179864268,-0.3740862411883571,-0.18323907544707352,-0.2397155169504803,-0.025079183046897324,-0.05564616275377255,0.20231310695524074,0.4141621781563202,1.0,-0.4295234345316828,-0.14477276501119005,0.11898895303941569,-0.041351468327250424,0.3180896273286146,-0.3180896273286146
Support_Scoring,-0.297146032312358,0.07176682752712923,-0.0026096034736178843,-0.5167750270074171,-0.003444310744795162,-0.5570289262507836,0.2257547488220949,0.865582991203801,-5.677365156436146e-05,0.15124684354001244,0.05257784322199046,-0.33970432289170693,0.30062802017811774,-0.6631706926337864,-0.4295234345316828,1.0,0.07630356245121617,-0.22878604348477866,0.06793914664611193,-0.20706993901688397,0.20706993901688395
MetaImpactScore,0.17880516174472566,0.9846282050864309,0.5420542814411018,-0.07442553953419462,-0.10215147494083035,0.017944260903487108,-0.038573061354807266,0.15444563187012586,0.09956980395779605,0.23408503009996628,0.2929649456673389,0.7468904998070796,0.16619558464401143,-0.0017537721105555936,-0.14477276501119005,0.07630356245121617,1.0,-0.046114594652761264,0.2907249942641362,-0.08498619175190295,0.08498619175190295
AvgDifficulty,0.10696118899020168,-0.052548466566360884,-0.007479424449219317,0.18110029697343494,-0.17985291873006043,0.3579419387829493,0.1858550199764469,-0.36013023390152193,-0.07514167466373951,-0.09174323950247341,0.11482159036745555,0.05318826016448631,0.18590379551105357,0.3238275269237913,0.11898895303941569,-0.22878604348477866,-0.046114594652761264,1.0,0.09789537942574389,0.17017628054451778,-0.1701762805445178
FeedbackBoostedWinRate,0.07449516468853602,0.13948246582359025,0.010015872581307709,-0.00862418580254767,0.036480412895335004,-0.10096041561551393,-0.1521929157768254,0.16633084954865937,-0.044950729236495963,0.6603444597521951,0.9980171125463791,-0.44545604934575816,0.9940493017634751,-0.0623818102245967,-0.041351468327250424,0.06793914664611193,0.2907249942641362,0.09789537942574389,1.0,-0.1410186129041896,0.14101861290418957
Style_Melee,0.13005111437578934,-0.059642293441858764,-0.10475649945492616,-0.23191437256130826,0.2790091791356492,0.19677301954081947,0.017395280161570582,-0.18483635232220966,-0.23028309323591897,-0.3067570140218308,-0.12845850761956418,-0.20494983791710664,0.2959901361617117,0.024755084315285766,0.3180896273286146,-0.20706993901688397,-0.08498619175190295,0.17017628054451778,-0.1410186129041896,1.0,-1.0
Style_Ranged,-0.1300511143757893,0.059642293441858764,0.1047564994549262,0.23191437256130826,-0.2790091791356492,-0.19677301954081944,-0.017395280161570624,0.18483635232220974,0.23028309323591897,0.3067570140218308,0.12845850761956418,0.2049498379171067,-0.2959901361617117,-0.024755084315285777,-0.3180896273286146,0.20706993901688395,0.08498619175190295,-0.1701762805445178,0.14101861290418957,-1.0,1.0
